date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank,batter_api_name,team_name_api,had_hit,hit_count,single_count,double_count,triple_count,home_run_count,xbh_count,at_bats,plate_appearances,runs_scored,rbi,walks,strikeouts,result_label,graded_at,prev_game_hits,prev_game_zero_hit_flag,hit_count_x,single_count_x,double_count_x,triple_count_x,home_run_count_x,xbh_count_x,at_bats_x,plate_appearances_x,runs_scored_x,rbi_x,walks_x,strikeouts_x,source_file,pred_hit_probability,model_available_flag,model_rank,hit_count_y,single_count_y,double_count_y,triple_count_y,home_run_count_y,xbh_count_y,at_bats_y,plate_appearances_y,runs_scored_y,rbi_y,walks_y,strikeouts_y,prob_hit_1,prob_hit_2,had_hit_1,had_hit_2,had_run_1,pred_had_hit_1,pred_had_hit_1_label
2026-07-24,823601,Los Angeles Dodgers @ New York Mets,Los Angeles Dodgers,New York Mets,Andy Pages,681624,2,R,Sean Manaea,L,0.265,0.331,0.457,0.275,0.364,0.5,4.74,1.36,0.262,,,0.283,,,0.2670666666666667,5.383333333333334,,,,22.8,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.75,0.2960526315789474,0.6710995424617028,0.4946958508206354,0.6290277090444204,0.6499999999999999,0.6255377972182794,3,Andy Pages,Los Angeles Dodgers,1,1.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,2.0,0.0,triple,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.9155124133364273,1
2026-07-24,823680,Athletics @ Minnesota Twins,Minnesota Twins,Athletics,Byron Buxton,621439,2,R,Jacob Lopez,L,0.274,0.331,0.568,0.273,0.319,0.455,6.64,1.73,0.283,,,0.307,,,0.2727333333333333,6.414666666666666,,,,30.9,-9,0,0.0,0.0,0.0,0,0,1,0.02,0.03,0.75,0.3157894736842105,0.6324901799134415,0.6488954639745838,0.7132055378061768,0.6499999999999999,0.664772014841662,3,Byron Buxton,Minnesota Twins,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,no_hit,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.43425642466785713,0
2026-07-24,823680,Athletics @ Minnesota Twins,Minnesota Twins,Athletics,Austin Martin,668885,1,R,Jacob Lopez,L,0.239,0.351,0.313,0.245,0.397,0.347,6.64,1.73,0.283,,,0.307,,,0.2448,6.414666666666666,,,,25.0,-9,0,0.0,0.0,0.0,0,0,1,0.02,0.01,1.0,0.2390350877192982,0.6074196830417614,0.6488954639745838,0.6239616613418532,0.6499999999999999,0.7151178091540934,1,Austin Martin,Minnesota Twins,1,1.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,0.0,double,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.5914500419695701,1
2026-07-24,823680,Athletics @ Minnesota Twins,Minnesota Twins,Athletics,Ryan Jeffers,680777,3,R,Jacob Lopez,L,0.284,0.392,0.541,0.315,0.448,0.519,6.64,1.73,0.283,,,0.307,,,0.2918666666666666,6.414666666666666,,,,25.0,-9,0,0.0,0.0,0.0,0,0,1,0.02,0.01,0.5,0.337719298245614,0.7694517590615509,0.6488954639745838,0.7743343982960595,0.6499999999999999,0.6781817387021717,2,Ryan Jeffers,Minnesota Twins,1,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,single_only,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.6825205380259667,1
2026-07-24,823759,Colorado Rockies @ Milwaukee Brewers,Milwaukee Brewers,Colorado Rockies,Christian Yelich,592885,1,R,Tomoyuki Sugano,R,0.245,0.332,0.4,0.238,0.329,0.376,4.66,1.28,0.267,,,0.257,,,0.2428,4.045333333333333,,,,30.8,-11,0,0.0,0.0,0.0,0,0,1,0.02,0.03,1.0,0.2521929824561403,0.571846980154803,0.4701445048396611,0.4657780353257111,0.6499999999999999,0.5588718017894556,3,Christian Yelich,Milwaukee Brewers,1,1.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,home_run,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0.7180411743708504,1
2026-07-24,823759,Colorado Rockies @ Milwaukee Brewers,Colorado Rockies,Milwaukee Brewers,Jake McCarthy,664983,1,R,Shane Drohan,L,0.306,0.349,0.518,0.364,0.402,0.558,3.47,1.2,0.245,,,0.236,,,0.3031333333333333,3.042666666666667,,,,25.0,9,0,0.0,0.0,0.0,0,1,0,-0.03,0.01,1.0,0.3859649122807018,0.817351413324193,0.3893685417162249,0.5942993867367262,0.6499999999999999,0.6352933238564246,1,Jake McCarthy,Colorado Rockies,1,1.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,2.0,triple,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0.6543905094637676,1
2026-07-24,823759,Colorado Rockies @ Milwaukee Brewers,Milwaukee Brewers,Colorado Rockies,Jackson Chourio,694192,2,R,Tomoyuki Sugano,R,0.278,0.338,0.475,0.263,0.318,0.463,4.66,1.28,0.267,,,0.257,,,0.2815333333333333,4.045333333333333,,,,23.3,-11,0,0.0,0.0,0.0,0,0,1,0.02,0.0,0.75,0.324561403508772,0.6218934836933224,0.4701445048396611,0.5895267041223031,0.6499999999999999,0.5699457279935743,2,Jackson Chourio,Milwaukee Brewers,1,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,single_only,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.6637044204575785,1
2026-07-24,823843,San Diego Padres @ Miami Marlins,San Diego Padres,Miami Marlins,Jake Cronenworth,630105,2,R,Ryan Gusto,R,0.206,0.296,0.291,0.214,0.313,0.321,4.7,1.37,0.254,,,0.208,,,0.1875333333333333,5.863636363636363,,,,25.0,-5,0,0.0,0.0,0.0,0,0,1,0.02,0.01,0.75,0.1666666666666666,0.5181957430178586,0.4516883578840716,0.4056987249337348,0.6499999999999999,0.5009102518597464,3,Jake Cronenworth,San Diego Padres,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,no_hit,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.3969016522389775,0
2026-07-24,823843,San Diego Padres @ Miami Marlins,San Diego Padres,Miami Marlins,Fernando Tatis Jr.,665487,1,R,Ryan Gusto,R,0.286,0.353,0.406,0.285,0.349,0.386,4.7,1.37,0.254,,,0.208,,,0.2826666666666667,5.863636363636363,,,,28.6,-5,0,0.0,0.0,0.0,0,0,1,0.02,0.01,1.0,0.3421052631578947,0.6431577669906591,0.4516883578840716,0.7096390870210617,0.6499999999999999,0.6277418121660454,2,Fernando Tatis Jr.,San Diego Padres,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,no_hit,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.5992059532767364,1
2026-07-24,823843,San Diego Padres @ Miami Marlins,Miami Marlins,San Diego Padres,Otto Lopez,672640,1,R,Germán Márquez,R,0.332,0.367,0.499,0.307,0.353,0.465,5.24,1.54,0.27,,,0.244,,,0.3382666666666666,5.726999999999999,,,,20.6,8,0,0.0,0.0,0.0,0,1,0,-0.03,0.0,1.0,0.4429824561403509,0.6949759149894632,0.530227570041251,0.8785211164035795,0.6499999999999999,0.6495904172202779,1,Otto Lopez,Miami Marlins,1,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,single_only,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.9106625274833127,1
