date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,prev_game_hits,prev_game_zero_hit_flag,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank
2026-07-26,823194,Los Angeles Angels @ San Francisco Giants,Los Angeles Angels,San Francisco Giants,Mike Trout,545361,2,R,Carson Whisenhunt,L,0.242,0.395,0.465,.263,.423,.461,3.29,1.32,0.216,,,.276,,,0.23480000000000004,3.4233333333333333,2,0,,,,23.7,10,0,0,0.0,0.0,0,1,0,-0.03,0.0,0.75,0.36281859070464767,0.6405438311688312,0.5574599129218221,0.5205273156328242,0.6499999999999999,0.5904530290136779,3
2026-07-26,823599,Los Angeles Dodgers @ New York Mets,Los Angeles Dodgers,New York Mets,Shohei Ohtani,660271,1,R,Freddy Peralta,R,0.282,0.387,0.52,.283,.408,.506,4.99,1.48,0.264,,,.250,,,0.2885333333333333,4.13,1,0,,,,29.9,2,0,0,0.0,0.0,0,0,0,0.0,0.01,1.0,0.4227886056971514,0.6693993506493506,0.6561921409816268,0.6571252814392601,0.6499999999999999,0.6677762721727146,1
2026-07-26,823599,Los Angeles Dodgers @ New York Mets,New York Mets,Los Angeles Dodgers,A.J. Ewing,805999,1,R,Emmet Sheehan,R,0.264,0.338,0.413,.270,.342,.402,4.95,1.25,0.245,,,.242,,,0.27353333333333335,4.875333333333333,1,0,,,,25.0,14,0,0,0.0,0.0,0,1,0,-0.03,0.01,1.0,0.39580209895052476,0.584737012987013,0.6003213050067969,0.6658603080545303,0.6499999999999999,0.6011596909569717,2
2026-07-26,823599,Los Angeles Dodgers @ New York Mets,Los Angeles Dodgers,New York Mets,Alex Call,669743,1,R,Freddy Peralta,R,0.246,0.355,0.314,.197,.318,.225,4.99,1.48,0.264,,,.250,,,0.2569333333333333,4.13,0,1,,,,25.0,2,0,0,0.0,0.0,0,0,0,0.0,0.01,1.0,0.36881559220389803,0.4352581168831169,0.6561921409816268,0.5974566879903198,0.6499999999999999,0.600290674713815,3
2026-07-26,823433,New York Yankees @ Philadelphia Phillies,New York Yankees,Philadelphia Phillies,Paul Goldschmidt,502671,1,R,Cristopher Sánchez,L,0.259,0.315,0.487,.333,.415,.657,2.65,1.19,0.256,,,.297,,,0.2603333333333333,2.0653333333333332,2,0,,,,26.7,-7,0,0,0.0,0.0,0,0,1,0.02,0.01,1.0,0.38830584707646176,0.7782256493506493,0.5418114367040151,0.5012194147752332,0.6499999999999999,0.7072827555651517,1
2026-07-26,823433,New York Yankees @ Philadelphia Phillies,New York Yankees,Philadelphia Phillies,Ben Rice,700250,2,R,Cristopher Sánchez,L,0.271,0.359,0.577,.262,.324,.500,2.65,1.19,0.256,,,.297,,,0.2764666666666667,2.0653333333333332,0,1,,,,24.2,-7,0,0,0.0,0.0,0,0,1,0.02,0.0,0.75,0.4062968515742129,0.6046948051948052,0.5418114367040151,0.5316831270424139,0.6499999999999999,0.628469601366268,2
2026-07-26,823433,New York Yankees @ Philadelphia Phillies,Philadelphia Phillies,New York Yankees,Trea Turner,607208,1,R,Will Warren,R,0.242,0.293,0.386,.254,.291,.416,4.0,1.37,0.263,,,.262,,,0.2404,3.4819999999999998,1,0,,,,28.1,11,0,0,0.0,0.0,0,1,0,-0.03,0.01,1.0,0.36281859070464767,0.5489025974025974,0.6089220562669164,0.5340184626638432,0.6499999999999999,0.5750050356303006,3
2026-07-26,823840,San Diego Padres @ Miami Marlins,Miami Marlins,San Diego Padres,Otto Lopez,672640,1,R,Walker Buehler,R,0.328,0.363,0.49,.305,.351,.460,5.13,1.41,0.256,,,.233,,,0.33720000000000006,4.796666666666667,0,1,,,,20.6,8,0,0,0.0,0.0,0,1,0,-0.03,0.0,1.0,0.4917541229385307,0.645077922077922,0.6381289587749412,0.7821672906009409,0.6499999999999999,0.6550332617421039,1
2026-07-26,823840,San Diego Padres @ Miami Marlins,San Diego Padres,Miami Marlins,Fernando Tatis Jr.,665487,1,R,Janson Junk,R,0.277,0.346,0.393,.275,.340,.372,4.89,1.36,0.274,,,.195,,,0.28220000000000006,4.097142857142857,0,1,,,,28.6,-5,0,0,0.0,0.0,0,0,1,0.02,0.01,1.0,0.4152923538230885,0.5773571428571428,0.6192862901637455,0.643532695802841,0.6499999999999999,0.6516550771338354,2
2026-07-26,823840,San Diego Padres @ Miami Marlins,San Diego Padres,Miami Marlins,Jake Cronenworth,630105,2,R,Janson Junk,R,0.217,0.318,0.297,.221,.331,.321,4.89,1.36,0.274,,,.195,,,0.1948,4.097142857142857,3,0,,,,25.0,-5,0,0,0.0,0.0,0,0,1,0.02,0.01,0.75,0.3253373313343328,0.5011347402597403,0.6192862901637455,0.4784999405041896,0.6499999999999999,0.557844563189687,3
2026-07-26,822870,Seattle Mariners @ Texas Rangers,Seattle Mariners,Texas Rangers,Cole Young,702284,1,R,Jacob deGrom,R,0.256,0.313,0.405,.263,.324,.427,3.67,1.07,0.224,,,.236,,,0.25420000000000004,3.317333333333333,2,0,,,,25.0,15,0,0,0.0,0.0,0,1,0,-0.03,0.01,1.0,0.383808095952024,0.5782938311688312,0.5151249300080527,0.5518888731703366,0.6499999999999999,0.5568942677701739,1
2026-07-26,822870,Seattle Mariners @ Texas Rangers,Texas Rangers,Seattle Mariners,Joc Pederson,592626,1,R,Logan Gilbert,R,0.252,0.342,0.493,.259,.350,.490,3.44,0.99,0.213,,,.240,,,0.24066666666666664,3.678,1,0,,,,25.0,13,0,0,0.0,0.0,0,1,0,-0.03,0.01,1.0,0.3778110944527736,0.6110227272727272,0.48885518025008334,0.5442673130362469,0.6499999999999999,0.5560523328486437,2
2026-07-26,822870,Seattle Mariners @ Texas Rangers,Texas Rangers,Seattle Mariners,Wyatt Langford,694671,2,R,Logan Gilbert,R,0.291,0.335,0.531,.302,.346,.537,3.44,0.99,0.213,,,.240,,,0.2793333333333334,3.678,1,0,,,,25.0,13,0,0,0.0,0.0,0,1,0,-0.03,0.01,0.75,0.43628185907046474,0.6685308441558442,0.48885518025008334,0.6172795159906465,0.6499999999999999,0.531381192512583,3
2026-07-26,824730,Toronto Blue Jays @ Boston Red Sox,Boston Red Sox,Toronto Blue Jays,Masataka Yoshida,807799,1,R,Kevin Gausman,R,0.257,0.336,0.379,.254,.332,.373,4.51,1.27,0.253,,,.270,,,0.26393333333333335,3.8259999999999996,0,1,,,,25.0,7,0,0,0.0,0.0,0,0,0,0.0,0.01,1.0,0.38530734632683655,0.5532775974025974,0.6034731917623377,0.5955592273809943,0.6499999999999999,0.6136952409864997,1
2026-07-26,824730,Toronto Blue Jays @ Boston Red Sox,Toronto Blue Jays,Boston Red Sox,Vladimir Guerrero Jr.,665489,2,R,Ranger Suarez,L,0.264,0.345,0.355,.278,.408,.380,3.02,1.15,0.233,,,.222,,,0.2617333333333333,3.0386666666666664,0,1,,,,20.4,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0.75,0.39580209895052476,0.6172792207792207,0.5102157440639691,0.5522580763465342,0.6499999999999999,0.605223239865976,2
2026-07-26,824730,Toronto Blue Jays @ Boston Red Sox,Boston Red Sox,Toronto Blue Jays,Ceddanne Rafaela,678882,2,R,Kevin Gausman,R,0.279,0.321,0.438,.278,.316,.413,4.51,1.27,0.253,,,.270,,,0.2812,3.8259999999999996,1,0,,,,24.2,7,0,0,0.0,0.0,0,0,0,0.0,0.0,0.75,0.41829085457271364,0.5836542207792208,0.6034731917623377,0.6281629524933898,0.6499999999999999,0.5861799555975149,3
