date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,prev_game_hits,prev_game_zero_hit_flag,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank,prob_hit_1,prob_hit_2,batter_api_name,team_name_api,had_hit,hit_count,single_count,double_count,triple_count,home_run_count,xbh_count,at_bats,plate_appearances,runs_scored,rbi,walks,strikeouts,result_label,graded_at
2026-08-09,823190,Detroit Tigers @ San Francisco Giants,Detroit Tigers,San Francisco Giants,Gleyber Torres,650402,2,R,Logan Webb,R,0.261,0.378,0.392,0.304,0.385,0.433,3.74,1.11,0.23,,,0.208,,,0.2698,4.0073333333333325,0,1,,,,25.0,10,0,2.48,0.0,0.0,0,1,0,-0.03,0.01,0.75,0.4453924907075214,0.6185038949480786,0.4476638887445863,0.4508530881245566,0.6499999999999999,0.4815531035790789,3,0.0943677874834714,0.0943677874834714,Gleyber Torres,Detroit Tigers,0,0,0,0,0,0,0,4,4,0,0,0,1,no_hit,2026-08-10T22:18:54Z
2026-08-09,823835,Los Angeles Angels @ Miami Marlins,Miami Marlins,Los Angeles Angels,Leo Jiménez,677870,1,R,Grayson Rodriguez,R,0.216,0.312,0.291,0.254,0.363,0.284,7.2,1.62,0.289,,,0.245,,,0.2121333333333333,8.976666666666668,0,1,,,,25.0,-8,0,1.77,0.0,0.0,0,0,1,0.02,0.01,1.0,0.3686006819648453,0.5141025964188939,0.6844535489199515,0.5794145927845327,0.6499999999999999,0.6457739026983887,1,0.6894005122004794,0.6894005122004794,Leo Jiménez,Miami Marlins,0,0,0,0,0,0,0,1,1,0,1,0,0,no_hit,2026-08-10T22:18:54Z
2026-08-09,823835,Los Angeles Angels @ Miami Marlins,Miami Marlins,Los Angeles Angels,Xavier Edwards,669364,2,R,Grayson Rodriguez,R,0.285,0.366,0.391,0.291,0.372,0.387,7.2,1.62,0.289,,,0.245,,,0.2884666666666666,8.976666666666668,0,1,,,,16.1,-8,0,1.77,0.0,0.0,0,0,1,0.02,0.0,0.75,0.4863481220369486,0.5855415573399485,0.6844535489199515,0.6799581844832798,0.6499999999999999,0.6387151816834644,2,0.6603894829612873,0.6603894829612873,Xavier Edwards,Miami Marlins,0,0,0,0,0,0,0,4,5,1,0,1,2,no_hit,2026-08-10T22:18:54Z
2026-08-09,823835,Los Angeles Angels @ Miami Marlins,Los Angeles Angels,Miami Marlins,Wade Meckler,685133,1,R,Ryan Gusto,R,0.3,0.364,0.412,0.315,0.378,0.436,4.78,1.33,0.256,,,0.236,,,0.3006666666666666,5.592666666666667,0,1,,,,25.0,-5,0,1.12,0.0,0.0,0,0,1,0.02,0.01,1.0,0.5119453916178407,0.6266181806452732,0.5401850840324424,0.5567556013647385,0.6499999999999999,0.6272234105757617,3,0.6065956714023873,0.6065956714023873,Wade Meckler,Los Angeles Angels,1,1,1,0,0,0,0,4,5,1,0,1,2,single_only,2026-08-10T22:18:54Z
2026-08-09,825050,Los Angeles Dodgers @ Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,Shohei Ohtani,660271,1,R,Eduardo Rodriguez,L,0.18,0.257,0.262,0.307,0.369,0.593,2.71,1.24,0.241,,,0.238,,,0.2895333333333333,2.420666666666667,1,0,,,,29.9,-4,0,0.0,0.0,0.0,0,0,0,0.0,0.01,1.0,0.3071672349707044,0.6614259728318316,0.4488454969113439,0.411544246993279,0.6499999999999999,0.6167417793303529,1,0.5512954568384956,0.5512954568384956,Shohei Ohtani,Los Angeles Dodgers,0,0,0,0,0,0,0,4,4,0,0,0,2,no_hit,2026-08-10T22:18:54Z
2026-08-09,825050,Los Angeles Dodgers @ Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,Andy Pages,681624,2,R,Eduardo Rodriguez,L,0.27,0.336,0.458,0.285,0.373,0.512,2.71,1.24,0.241,,,0.238,,,0.2673333333333333,2.420666666666667,2,0,,,,22.8,-4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.75,0.4607508524560566,0.6176974014699423,0.4488454969113439,0.3823031849533813,0.6499999999999999,0.561423477183896,2,0.2694404685590291,0.2694404685590291,Andy Pages,Los Angeles Dodgers,1,2,1,1,0,0,1,4,4,0,1,0,2,multi_hit_xbh,2026-08-10T22:18:54Z
2026-08-09,825050,Los Angeles Dodgers @ Arizona Diamondbacks,Arizona Diamondbacks,Los Angeles Dodgers,Geraldo Perdomo,672695,1,R,Justin Wrobleski,L,0.244,0.358,0.377,0.237,0.336,0.316,3.31,1.07,0.228,,,0.22,,,0.2373333333333333,2.5933333333333337,1,0,,,,12.2,14,0,1.4,0.0,0.0,0,1,0,-0.03,0.0,1.0,0.4163822518491771,0.4936441549136932,0.4323342973779707,0.3498945102575245,0.6499999999999999,0.5405955044804431,3,0.2024094097778075,0.2024094097778075,Geraldo Perdomo,Arizona Diamondbacks,1,1,1,0,0,0,0,3,4,0,0,1,0,single_only,2026-08-10T22:18:54Z
2026-08-09,823751,Minnesota Twins @ Milwaukee Brewers,Milwaukee Brewers,Minnesota Twins,Jackson Chourio,694192,1,R,Connor Prielipp,L,0.275,0.335,0.48,0.302,0.375,0.5,4.79,1.31,0.248,,,0.226,,,0.2757333333333334,4.552666666666667,1,0,,,,23.3,-1,0,1.28,0.0,0.0,0,0,0,0.0,0.0,1.0,0.4692832756496873,0.6316558429941431,0.5291307415214231,0.4811120202945427,0.6499999999999999,0.6538199862491441,1,0.7187970597543475,0.7187970597543475,Jackson Chourio,Milwaukee Brewers,1,1,0,0,0,1,1,3,5,1,1,2,1,home_run,2026-08-10T22:18:54Z
2026-08-09,823751,Minnesota Twins @ Milwaukee Brewers,Milwaukee Brewers,Minnesota Twins,Andrew Vaughn,683734,3,R,Connor Prielipp,L,0.3,0.391,0.47,0.382,0.488,0.662,4.79,1.31,0.248,,,0.226,,,0.3040666666666666,4.552666666666667,0,1,,,,25.0,-1,0,1.28,0.0,0.0,0,0,0,0.0,0.01,0.5,0.5119453916178407,0.8146779205859586,0.5291307415214231,0.5184316940691869,0.6499999999999999,0.5951734567132945,2,0.4295175717670974,0.4295175717670974,Andrew Vaughn,Milwaukee Brewers,0,0,0,0,0,0,0,2,2,0,0,0,1,no_hit,2026-08-10T22:18:54Z
2026-08-09,823751,Minnesota Twins @ Milwaukee Brewers,Milwaukee Brewers,Minnesota Twins,Brice Turang,668930,2,R,Connor Prielipp,L,0.274,0.365,0.46,0.209,0.295,0.296,4.79,1.31,0.248,,,0.226,,,0.2690666666666666,4.552666666666667,1,0,,,,21.9,-1,0,1.28,0.0,0.0,0,0,0,0.0,0.0,0.75,0.4675767910109611,0.4398714277469977,0.5291307415214231,0.4723309205828616,0.6499999999999999,0.5545567174806056,3,0.2448799719622931,0.2448799719622931,Brice Turang,Milwaukee Brewers,1,1,1,0,0,0,0,4,5,1,0,1,2,single_only,2026-08-10T22:18:54Z
2026-08-09,823345,New York Mets @ Pittsburgh Pirates,Pittsburgh Pirates,New York Mets,Jake Mangum,663968,1,R,Sean Manaea,L,0.301,0.354,0.389,0.3,0.352,0.338,4.17,1.33,0.259,,,0.273,,,0.3013333333333333,4.798,1,0,,,,21.3,2,0,1.23,0.0,0.0,0,0,0,0.0,0.0,1.0,0.5136518762565668,0.5696077911219078,0.5389792442823579,0.5249283884942253,0.6499999999999999,0.647834979339318,1,0.6972940881156963,0.6972940881156963,Jake Mangum,Pittsburgh Pirates,1,2,1,0,0,1,1,4,4,1,1,0,1,multi_hit_xbh,2026-08-10T22:18:54Z
2026-08-09,823345,New York Mets @ Pittsburgh Pirates,New York Mets,Pittsburgh Pirates,A.J. Ewing,805999,1,R,Jared Jones,R,0.263,0.335,0.399,0.262,0.328,0.386,5.03,1.2,0.23,,,0.2,,,0.2664,5.226923076923077,0,1,,,,25.0,5,0,2.0,0.0,0.0,0,0,0,0.0,0.01,1.0,0.4488054599849737,0.5349948041986354,0.5014798557651055,0.4965681957680411,0.6499999999999999,0.5636778871443966,2,0.2780889498845163,0.2780889498845163,A.J. Ewing,New York Mets,0,0,0,0,0,0,0,4,6,2,0,2,1,no_hit,2026-08-10T22:18:54Z
2026-08-09,823345,New York Mets @ Pittsburgh Pirates,Pittsburgh Pirates,New York Mets,Bryan Reynolds,668804,3,R,Sean Manaea,L,0.268,0.379,0.443,0.284,0.369,0.473,4.17,1.33,0.259,,,0.273,,,0.2682666666666666,4.798,1,0,,,,29.1,2,0,1.23,0.0,0.0,0,0,0,0.0,0.01,0.5,0.4573378831786043,0.6030233755137246,0.5389792442823579,0.4813741339242876,0.6499999999999999,0.5396557372517816,3,0.1998698690576408,0.1998698690576408,Bryan Reynolds,Pittsburgh Pirates,1,1,0,1,0,0,1,3,3,0,0,0,0,double,2026-08-10T22:18:54Z
2026-08-09,823104,Tampa Bay Rays @ Seattle Mariners,Seattle Mariners,Tampa Bay Rays,Taylor Ward,621493,1,R,Ian Seymour,L,0.243,0.376,0.339,0.261,0.4,0.409,4.27,1.13,0.216,,,0.202,,,0.2474666666666666,4.61,1,0,,,,19.2,6,0,1.49,0.0,0.0,0,0,0,0.0,0.0,1.0,0.4146757672104509,0.5769207781478178,0.4598818441246776,0.4462397697354587,0.6499999999999999,0.6141307132346765,1,0.5368308018232938,0.5368308018232938,Taylor Ward,Seattle Mariners,1,1,0,0,1,0,1,5,5,1,0,0,0,triple,2026-08-10T22:18:54Z
2026-08-09,823104,Tampa Bay Rays @ Seattle Mariners,Seattle Mariners,Tampa Bay Rays,Cole Young,702284,2,R,Ian Seymour,L,0.263,0.322,0.409,0.25,0.307,0.346,4.27,1.13,0.216,,,0.202,,,0.2606,4.61,1,0,,,,25.0,6,0,1.49,0.0,0.0,0,0,0,0.0,0.01,0.75,0.4488054599849737,0.5008064925686232,0.4598818441246776,0.4635385361674703,0.6499999999999999,0.5376969568046797,2,0.194693426340078,0.194693426340078,Cole Young,Seattle Mariners,1,2,2,0,0,0,0,4,4,0,1,0,1,multi_hit,2026-08-10T22:18:54Z
2026-08-09,823104,Tampa Bay Rays @ Seattle Mariners,Tampa Bay Rays,Seattle Mariners,Yandy Díaz,650490,1,R,Emerson Hancock,R,0.293,0.365,0.447,0.294,0.367,0.435,3.33,1.07,0.223,,,0.227,,,0.3018,3.114,0,1,,,,14.2,13,0,0.96,0.0,0.0,0,1,0,-0.03,0.0,1.0,0.4999999991467577,0.6003636352463017,0.4344540492317972,0.4562363158951112,0.6499999999999999,0.5338625709653811,3,0.1849984557102025,0.1849984557102025,Yandy Díaz,Tampa Bay Rays,1,4,4,0,0,0,0,5,5,1,1,0,0,multi_hit,2026-08-10T22:18:54Z
